ward_key,ward_id,ward_name,district,pred_baseline_trips,pred_gain_trips,delta_stops,delta_routes,investment_cost_units,roi_gain_per_cost
140,140,KHERA,South West,3.770037259372304,3.6979599443237094,484.9353393923342,3269.327339192374,33178.208731316074,0.00011145749230377189
241,241,DILSHAD GARDEN,Shahdara,-0.5909125556946766,0.21178294463720515,7.130007871287785,83.1171047800874,838.3010556721619,0.0002526335177606831
242,242,NEW SEEMA PURI,Shahdara,0.2672610102899146,0.0,0.0,0.0,0.0,0.0
243,243,NAND NAGRI,Shahdara,-0.6519156021808468,0.25875309188172796,3.635205983990112,26.20701768928998,265.70538287688987,0.0009738345873129828
244,244,SUNDER NAGARI,Shahdara,-0.4633635120278262,0.020505270497216233,0.9045253991257992,0.0,0.9045253991257992,0.022669645865516223
246,246,ASHOK NAGAR,Shahdara,-0.5840145491755718,0.11222369422728123,3.050595454340526,12.947787939718484,132.52847485152537,0.0008467892983161632
247,247,RAM NAGAR,Shahdara,-0.5707833782543376,0.15065130859080061,5.299192235320621,37.15219144511282,376.8211066864488,0.0003997953031748753
248,248,WELCOME COLONY,Shahdara,-0.6884118174931398,0.2301217750382487,7.054932877177041,51.0097869525023,517.1528024022001,0.00044497830035702566
249,249,CHAUHAN BANGER,Shahdara,-0.4974523141301228,0.05541578403066111,1.4066231265044884,0.0,1.4066231265044884,0.039396326526334804
250,250,ZAFFRABAD,Shahdara,-0.26842479971496136,0.0,0.0,0.0,0.0,0.0
252,252,MAUJPUR,Shahdara,-0.44963701290666885,0.0,0.0,0.0,0.0,0.0
256,256,YAMUNA VIHAR,Shahdara,-0.31150853462329886,0.0,0.0,0.0,0.0,0.0
257,257,SUBHASH MOHALLA,Shahdara,-0.7046806769498375,0.13915434803413496,2.3236665927643076,17.17675712823342,174.0912378750985,0.0007993185052378784
258,258,KARDAM PURI,Shahdara,-0.44591851283160144,0.05173866290892404,2.0447865101305083,5.9773970430426875,61.81875694055738,0.0008369411723667798
260,260,BABAR PUR,Shahdara,-0.5474989010151102,0.13418492667578097,2.3311155897175198,11.742167549503721,119.75279108475473,0.0011205160686375269
261,261,JIWANPUR,North East,-0.6037666237277004,0.2680418653923341,10.377538203770188,56.662761646958174,577.005154673352,0.0004645398108160933
262,262,GOKALPUR,Shahdara,-0.5849408785607628,0.14755667834584346,4.877083209957105,20.85076444901427,213.3847277000998,0.0006915053384351599
263,263,SABOLI,Shahdara,-0.5818328458602187,0.18273055754639372,8.828645135785942,40.119431515751806,410.02296029330404,0.0004456593294561709
264,264,HARSH VIHAR,Shahdara,-0.6506380441666886,0.30434651960057085,17.021657059878148,119.96159594027927,1216.6376164626708,0.00025015379722122765
266,266,KARAWAL NAGAR EAST,North East,-0.6271645443749544,0.2892964821858541,7.403916943163203,56.28406945276989,570.2446114708621,0.0005073199752631578
268,268,MUSTAFABAD,North East,-0.6009091803614033,0.24772577215501795,6.663031964309548,46.97268740294578,476.38990599376734,0.0005200063415234053
269,269,KHAJOORI KHAS,Central,-0.34063398904220266,0.05162546386166744,0.0,12.047901233251341,120.4790123325134,0.00042850171877867305
271,271,KARAWAL NAGAR WEST,North East,-0.5402574457140673,0.2867858205317402,8.628578425259352,89.84935611941772,907.1221396194366,0.0003161490696850799
272,272,SONIA VIHAR,Central,-0.42134992062983917,0.38291156564743317,30.839004607993527,297.31099606011196,3003.948965209113,0.00012746939781004243
154,154,NIZAMUDDIN,South East,-0.23079641622511313,0.23951277060105947,21.456470657920914,151.4024049708729,1535.48052036665,0.00015598554812255866
154,154,NIZAMUDDIN,South East,-0.23079641622511313,0.23951277060105947,21.456470657920914,151.4024049708729,1535.48052036665,0.00015598554812255866
156,156,BHOGAL,South East,-0.39582234596758514,0.13394725872028185,3.125284514176544,18.98512546912462,192.97653920542274,0.0006941116224340692
156,156,BHOGAL,South East,-0.39582234596758514,0.13394725872028185,3.125284514176544,18.98512546912462,192.97653920542274,0.0006941116224340692
157,157,KASTURBA NAGAR,South East,-0.16579523556645342,0.08177945488993581,0.0,40.25501398602714,402.5501398602714,0.00020315346286581596
157,157,KASTURBA NAGAR,South East,-0.16579523556645342,0.08177945488993581,0.0,40.25501398602714,402.5501398602714,0.00020315346286581596
160,160,AMAR COLONY,South East,-0.08230833104811382,0.0,0.0,0.0,0.0,0.0
160,160,AMAR COLONY,South East,-0.08230833104811382,0.0,0.0,0.0,0.0,0.0
161,161,MALVIYA NAGAR,South,-0.06300169239453104,0.13828846990592003,0.0,108.52355857693826,1085.2355857693826,0.00012742714275053226
162,162,HAUZ RANI,South,-0.5273550577965717,0.2530895934331951,4.734077732182327,33.4019505655854,338.7535833880363,0.0007471200478565515
159,159,ANDREWSGANJ,South East,-0.3184403258341384,0.17534697431202992,6.378396056387066,70.38761411012335,710.2545371576206,0.0002468790625590468
159,159,ANDREWSGANJ,South East,-0.3184403258341384,0.17534697431202992,6.378396056387066,70.38761411012335,710.2545371576206,0.0002468790625590468
165,165,VASANT VIHAR,South,-0.36744291523255984,0.3756499551845125,25.008639464608308,224.2815533089564,2267.8241725541725,0.00016564333325773894
166,166,MUNIRKA,South,0.2717444727689225,0.0,0.0,0.0,0.0,0.0
168,168,NANAK PURA,New Delhi,-0.22971051406095908,0.1307980813321829,7.042320302001287,27.68058704673907,283.84819076939203,0.0004608029418020386
